id,name,artist,album,played_at,date_pulled
49PPH7Kji3bCyKKNx78SxS,Say,keshi,Requiem,2026-05-27 15:43:14.616,2026-05-28
4EoJ151oQ5jY48z4RhSE96,the cure,Olivia Rodrigo,the cure,2026-05-27 10:47:11.754,2026-05-28
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,2026-05-27 10:01:53.770,2026-05-28
4sTjUYjIC02RkNa1A8rWjE,LAST GOODBYE,sunkis,LAST GOODBYE,2026-05-26 19:36:11.061,2026-05-28
7bCfHiRcfUjG0YVVNUL7Ve,E-GIRLS ARE RUINING MY LIFE!,CORPSE,E-GIRLS ARE RUINING MY LIFE!,2026-05-26 19:32:46.711,2026-05-28
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2026-05-26 19:30:08.481,2026-05-28
4EoJ151oQ5jY48z4RhSE96,the cure,Olivia Rodrigo,the cure,2026-05-26 19:27:22.812,2026-05-28
6gkbtMtioHgtyGjrMel6ei,drop dead,Olivia Rodrigo,drop dead,2026-05-26 19:16:42.435,2026-05-28
4qS2KPWvsQzLvRa9oCHw41,You (feat. Travis Scott),Don Toliver,Life of a DON,2026-05-26 19:11:41.585,2026-05-28
1auxYwYrFRqZP7t3s7w4um,Ni**as In Paris,JAŸ-Z,Watch The Throne,2026-05-26 18:12:12.007,2026-05-28
0TlLq3lA83rQOYtrqBqSct,Nonstop,Drake,Scorpion,2026-05-26 18:08:32.214,2026-05-28
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,Lover,2026-05-26 18:02:57.374,2026-05-28
4sTjUYjIC02RkNa1A8rWjE,LAST GOODBYE,sunkis,LAST GOODBYE,2026-05-26 17:59:54.870,2026-05-28
6gkbtMtioHgtyGjrMel6ei,drop dead,Olivia Rodrigo,drop dead,2026-05-26 17:57:26.357,2026-05-28
4EoJ151oQ5jY48z4RhSE96,the cure,Olivia Rodrigo,the cure,2026-05-26 17:53:40.901,2026-05-28
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,AM,2026-05-26 16:54:31.151,2026-05-28
1Fhb9iJPufNMZSwupsXiRe,beside you,keshi,beside you,2026-05-26 16:49:58.283,2026-05-28
3Ac4AjYkqsvop2ydbSAhTX,Why You Wanna Fight?,Bruno Mars,The Romantic,2026-05-26 16:47:11.798,2026-05-28
5y2ijHECwFYWqcAHKTZgzD,Risk It All,Bruno Mars,The Romantic,2026-05-26 16:42:56.984,2026-05-28
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,2026-05-26 16:39:32.461,2026-05-28
2W0AJEbIC2vdZTV2nVSAsg,Outrunning Karma,Alec Benjamin,Narrated For You,2026-05-26 16:36:31.621,2026-05-28
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,Artemas,i like the way you kiss me,2026-05-26 16:33:22.311,2026-05-28
2F6Cjiv4jXoW6WinuSsNdc,Euphoria,keshi,Requiem,2026-05-26 16:30:59.338,2026-05-28
3frZl6bno6us1TLjr6PZ4h,Prom Queen,Beach Bunny,Prom Queen,2026-05-26 15:09:30.279,2026-05-28
3SKH53SPQbEnZR4cJPVaz2,Messy,Lola Young,Messy,2026-05-26 15:07:13.253,2026-05-28
5AsqDGKlZ7fGC6oeRIiPWx,Radio,Lana Del Rey,Born To Die (Deluxe Version),2026-05-26 15:02:28.731,2026-05-28
5cF0dROlMOK5uNZtivgu50,Attention,Charlie Puth,Voicenotes,2026-05-26 14:58:53.675,2026-05-28
3yy1OnN0D8Zlq6rfHfJ5UK,Cocaine Jesus,Rainbow Kitten Surprise,RKS,2026-05-26 14:55:24.425,2026-05-28
4EoJ151oQ5jY48z4RhSE96,the cure,Olivia Rodrigo,the cure,2026-05-26 14:51:15.621,2026-05-28
1LkoYGxmYpO6QSEvY5C0Zl,Scotty Doesn't Know,Lustra,Left for Dead,2026-05-26 14:46:18.076,2026-05-28
1N8TTK1Uoy7UvQNUazfUt5,SPIT IN MY FACE!,ThxSoMch,SPIT IN MY FACE!,2026-05-26 14:43:33.222,2026-05-28
6gkbtMtioHgtyGjrMel6ei,drop dead,Olivia Rodrigo,drop dead,2026-05-26 14:41:04.876,2026-05-28
4sTjUYjIC02RkNa1A8rWjE,LAST GOODBYE,sunkis,LAST GOODBYE,2026-05-26 14:37:19.414,2026-05-28
0yljUudXzjVcGEoYmLB17X,Genesis,Grimes,Visions,2026-05-26 14:34:50.937,2026-05-28
1OqDvYVDhJyFZny7XlfIyZ,Let Go,BTS,FACE YOURSELF,2026-05-26 14:29:00.289,2026-05-28
5oJ4f5Nl1c6Pq3UMRn1uhm,u don't want to be the one for me,slone,u don't want to be the one for me,2026-05-26 12:17:14.345,2026-05-28
